127.0.0.1 - - [24/Apr/2014:20:48:21 -0400] "GET / HTTP/1.1" 404 951
192.168.0.101 - - [24/Apr/2014:20:49:04 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:04 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:26 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:26 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:30 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:30 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:31 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:31 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:32 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:32 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:33 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:33 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:34 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:34 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:36 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:36 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:38 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:38 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:41 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:41 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:41 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:41 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:50 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:50 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:51 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:49:56 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [24/Apr/2014:20:49:56 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [24/Apr/2014:20:50:26 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
