127.0.0.1 - - [04/May/2014:00:00:15 -0400] "GET / HTTP/1.1" 404 951
192.168.0.101 - - [04/May/2014:00:00:36 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [04/May/2014:00:00:36 -0400] "GET /favicon.ico HTTP/1.1" 404 973
192.168.0.101 - - [04/May/2014:00:02:13 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:02:15 -0400] "GET /com.youtube.rest/ HTTP/1.1" 304 -
192.168.0.101 - - [04/May/2014:00:02:16 -0400] "GET /com.youtube.rest/ HTTP/1.1" 304 -
192.168.0.101 - - [04/May/2014:00:02:16 -0400] "GET /com.youtube.rest/ HTTP/1.1" 304 -
192.168.0.101 - - [04/May/2014:00:02:16 -0400] "GET /com.youtube.rest/ HTTP/1.1" 304 -
192.168.0.101 - - [04/May/2014:00:03:16 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [04/May/2014:00:04:26 -0400] "GET /com.youtube.rest/api/v1/status/version HTTP/1.1" 200 33
192.168.0.101 - - [04/May/2014:00:06:12 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:17:01 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:21:17 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:30:51 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:34:06 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:40:19 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:43:38 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:49:28 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:00:56:13 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
192.168.0.101 - - [04/May/2014:01:00:46 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 222
