PLMNID,LAC/TAC,Cell ID/ECI,Technology,,
310410,26522,10041,GSM/UMTS,679A,2739
310410,26522,10042,GSM/UMTS,679A,273A
310410,26008,10043,GSM/UMTS,6598,273B
310410,26522,10043,GSM/UMTS,679A,273B
310410,26522,10044,GSM/UMTS,679A,273C
310410,26522,10045,GSM/UMTS,679A,273D
310410,26522,10046,GSM/UMTS,679A,273E
310410,26008,10047,GSM/UMTS,6598,273F
310410,26522,10047,GSM/UMTS,679A,273F
310410,26008,10048,GSM/UMTS,6598,2740
310410,26522,10048,GSM/UMTS,679A,2740
310410,26008,10049,GSM/UMTS,6598,2741
310410,26522,10049,GSM/UMTS,679A,2741
310410,26010,10061,GSM/UMTS,659A,274D
310410,26510,10061,GSM/UMTS,678E,274D
310410,26010,10062,GSM/UMTS,659A,274E
310410,26510,10062,GSM/UMTS,678E,274E
310410,26010,10063,GSM/UMTS,659A,274F
310410,26510,10063,GSM/UMTS,678E,274F
310410,26510,10064,GSM/UMTS,678E,2750
310410,26510,10065,GSM/UMTS,678E,2751
310410,26510,10066,GSM/UMTS,678E,2752
310410,26010,10067,GSM/UMTS,659A,2753
310410,26510,10067,GSM/UMTS,678E,2753
310410,26010,10068,GSM/UMTS,659A,2754
310410,26510,10068,GSM/UMTS,678E,2754
310410,26010,10069,GSM/UMTS,659A,2755
310410,26510,10069,GSM/UMTS,678E,2755
310410,26010,10091,GSM/UMTS,659A,276B
310410,26520,10091,GSM/UMTS,6798,276B
310410,26010,10092,GSM/UMTS,659A,276C
310410,26520,10092,GSM/UMTS,6798,276C
310410,26010,10093,GSM/UMTS,659A,276D
310410,26520,10093,GSM/UMTS,6798,276D
310410,26520,10094,GSM/UMTS,6798,276E
310410,26520,10095,GSM/UMTS,6798,276F
310410,26520,10096,GSM/UMTS,6798,2770
310410,26010,10097,GSM/UMTS,659A,2771
310410,26520,10097,GSM/UMTS,6798,2771
310410,26010,10098,GSM/UMTS,659A,2772
310410,26520,10098,GSM/UMTS,6798,2772
310410,26010,10099,GSM/UMTS,659A,2773
310410,26520,10099,GSM/UMTS,6798,2773
310410,52047,101,GSM/UMTS,CB4F,65
310410,26003,10141,GSM/UMTS,6593,279D
310410,26501,10141,GSM/UMTS,6785,279D
310410,26003,10142,GSM/UMTS,6593,279E
310410,26501,10142,GSM/UMTS,6785,279E
310410,26003,10143,GSM/UMTS,6593,279F
310410,26501,10143,GSM/UMTS,6785,279F
310410,26501,10144,GSM/UMTS,6785,27A0
310410,26501,10145,GSM/UMTS,6785,27A1
310410,26501,10146,GSM/UMTS,6785,27A2
310410,26003,10147,GSM/UMTS,6593,27A3
310410,26501,10147,GSM/UMTS,6785,27A3
310410,26003,10148,GSM/UMTS,6593,27A4
310410,26501,10148,GSM/UMTS,6785,27A4
310410,26003,10149,GSM/UMTS,6593,27A5
310410,26501,10149,GSM/UMTS,6785,27A5
310410,26006,10151,GSM/UMTS,6596,27A7
310410,26502,10151,GSM/UMTS,6786,27A7
310410,26501,10152,GSM/UMTS,6785,27A8
310410,26502,10152,GSM/UMTS,6786,27A8
310410,26006,10153,GSM/UMTS,6596,27A9
310410,26502,10153,GSM/UMTS,6786,27A9
310410,26502,10154,GSM/UMTS,6786,27AA
310410,26502,10156,GSM/UMTS,6786,27AC
310410,26006,10157,GSM/UMTS,6596,27AD
310410,26502,10157,GSM/UMTS,6786,27AD
310410,26006,10158,GSM/UMTS,6596,27AE
310410,26502,10158,GSM/UMTS,6786,27AE
310410,26006,10159,GSM/UMTS,6596,27AF
310410,26502,10159,GSM/UMTS,6786,27AF
310410,26520,10178,GSM/UMTS,6798,27C2
310410,52047,102,GSM/UMTS,CB4F,66
310410,26109,10201,GSM/UMTS,65FD,27D9
310410,26513,10201,GSM/UMTS,6791,27D9
310410,26109,10202,GSM/UMTS,65FD,27DA
310410,26513,10202,GSM/UMTS,6791,27DA
310410,26109,10203,GSM/UMTS,65FD,27DB
310410,26513,10203,GSM/UMTS,6791,27DB
310410,26109,10207,GSM/UMTS,65FD,27DF
310410,26513,10207,GSM/UMTS,6791,27DF
310410,26109,10208,GSM/UMTS,65FD,27E0
310410,26513,10208,GSM/UMTS,6791,27E0
310410,26109,10209,GSM/UMTS,65FD,27E1
310410,26513,10209,GSM/UMTS,6791,27E1
310410,26109,10241,GSM/UMTS,65FD,2801
310410,26521,10241,GSM/UMTS,6799,2801
310410,26109,10242,GSM/UMTS,65FD,2802
310410,26521,10242,GSM/UMTS,6799,2802
310410,26109,10243,GSM/UMTS,65FD,2803
310410,26521,10243,GSM/UMTS,6799,2803
310410,26521,10244,GSM/UMTS,6799,2804
310410,26521,10245,GSM/UMTS,6799,2805
310410,26521,10246,GSM/UMTS,6799,2806
310410,26109,10247,GSM/UMTS,65FD,2807
310410,26521,10247,GSM/UMTS,6799,2807
310410,26109,10248,GSM/UMTS,65FD,2808
310410,26521,10248,GSM/UMTS,6799,2808
310410,26109,10249,GSM/UMTS,65FD,2809
310410,26521,10249,GSM/UMTS,6799,2809
310410,26521,10259,GSM/UMTS,6799,2813
310410,52047,103,GSM/UMTS,CB4F,67
310410,26003,10301,GSM/UMTS,6593,283D
310410,26501,10301,GSM/UMTS,6785,283D
310410,26003,10302,GSM/UMTS,6593,283E
310410,26501,10302,GSM/UMTS,6785,283E
310410,26003,10303,GSM/UMTS,6593,283F
310410,26501,10303,GSM/UMTS,6785,283F
310410,26501,10304,GSM/UMTS,6785,2840
310410,26501,10305,GSM/UMTS,6785,2841
310410,26501,10306,GSM/UMTS,6785,2842
310410,26003,10307,GSM/UMTS,6593,2843
310410,26501,10307,GSM/UMTS,6785,2843
